Topic,Sample_Size,Sentiment_Negative,Sentiment_Positive,Sentiment_Neutral,Emotion_anger,Emotion_anticipation,Emotion_disgust,Emotion_fear,Emotion_joy,Emotion_love,Emotion_optimism,Emotion_pessimism,Emotion_sadness,Emotion_surprise,Emotion_trust
0,50,0.8,0.1,0.1,0.22690733862109483,0.0820128758996725,0.2725026142783463,0.5882788694091141,0.16225749472156167,0.035350822228938344,0.28753384951502087,0.2781286742910743,0.6022761500254273,0.020612648222595453,0.028328738482668994
1,50,0.56,0.18,0.26,0.12925122244283557,0.14084841176867485,0.18619543571025132,0.6664420779980719,0.17416307859122754,0.020788969956338405,0.31840334590524433,0.2319037503004074,0.44488736100494863,0.029678878486156465,0.03369338727556169
2,50,0.82,0.02,0.16,0.2699314584583044,0.07107431061565876,0.3390776640921831,0.6035600991547108,0.13981246246024967,0.03383846226148307,0.15023972559720278,0.31260909110307694,0.7174269880354405,0.02732747858390212,0.021772850137203932
3,50,0.88,,0.12,0.3608063972555101,0.1063866614922881,0.4362304642796516,0.5577230789884925,0.09430926764383912,0.014535805424675346,0.14754222450777887,0.2775679873675108,0.6027582241594791,0.0448574267886579,0.017008313862606882
4,50,0.64,0.06,0.3,0.20947447320446372,0.11897309850901365,0.2960235632956028,0.7333481140434742,0.0936732838768512,0.02436351900920272,0.1871742579061538,0.2600906534306705,0.48223001793026926,0.02720940886065364,0.01932190622203052
5,50,0.82,0.08,0.1,0.1648406815249473,0.0641451495140791,0.21203082498162984,0.7257331246137619,0.10478775333613158,0.04471901535987854,0.23524266140535474,0.3285907832719386,0.6898807709664107,0.018027107398957014,0.02730740116909146
6,50,0.76,0.04,0.2,0.28820086458697913,0.12093444623053073,0.35872663917019965,0.6298760722950101,0.12052656732499599,0.021047682440839707,0.1721504765562713,0.2266311701387167,0.42853190332651137,0.04177186304703355,0.01873740409500897
7,50,0.52,0.18,0.3,0.14636254968121648,0.25691609654575587,0.1893370972573757,0.4716539517045021,0.17598146352916955,0.02153372497763485,0.39893393201753496,0.24874505588784815,0.46646206662990153,0.03862965239211917,0.0559609439317137
8,50,0.88,0.02,0.1,0.19110681731253862,0.06925935339182615,0.28587292317301033,0.8198693440109491,0.07309858525171876,0.018662442825734614,0.09861194618977606,0.3060719442367554,0.6339367949962615,0.026768913194537163,0.013403312629088759
9,50,0.8,0.06,0.14,0.2349917488731444,0.13313178703188897,0.274079513810575,0.6424532182142139,0.08451278747059404,0.01605735336430371,0.3404689251538366,0.25723753310739994,0.47678078547120095,0.019544510636478662,0.03522885460406542
